Year_Semester,Subject_Code,Course_Title, Lec_units,Lab_units,total_Units,Prerequisites
1-1,IT 101,Introduction to Computong with Laboratory,2,3,3,None
1-1,CS101,Fundamentals of Programming ,2,3,3,None
1-1,MATH 101,Mathematics in the Modern World,3,-,3,None
1-1,US 101,Understanding the Self,3,-,3,None
1-1,IE101,Interactive English,3,-,3,None
1-1,SEC101,Security Awareness,3,-,3,None
1-1,ALG101,Liner Algebra,3,-,3,None
1-1,PE101,"Physical Fitness, Gymnastics and Aerobics",2,-,2,None
1-1,NSTP ,National Service Training Program 1,3,-,3,None
1-2,CS 102,Object Oriented Programming ,2,3,3,CS101
1-2,IT 102,Information Management ,3,-,3,IT101
1-2,NET 102,Computer Networking 1,2,3,3,IT101
1-2,IT201,Data Structures and Algorithim with Laboratory,2,3,3,CS101
1-2,PCOM 102,Purposive Communication,3,-,3,IE101
1-2,IT231,Operating System ,2,3,3,"IT101,CS101"
1-2,CALC 102,Mechanics,3,-,2,MATH 101
1-2,PE102,Rhythm Activities,2,-,3,PE101
1-2,NSTP 102,National Service Training Program 2,3,-,3,NSTP101
2-1,DIS 201,Discrete Mathematics,3,-,3,CALC 102
2-1,IT211,Database Management System,2,3,3,IT 102
2-1,RPH 201,Readings in Philippine History,3,-,3,None
2-1,ENV 201,Environmental Science,3,-,3,None
2-1,IT221,Web Design and Programming,2,3,3,CS 102
2-1,NET 201,Computer Networking 2,2,3,3,NET 102
2-1,RIZAL 201,The Life and Works of Rizal,3,-,3,None
2-1,ACCTG 201,Accounting,3,-,3,None
2-1,PE 201,Individual Dual Sports,2,-,2,PE 102
2-2,IAS 202,Information Assurance Security ,2,-,3,NET201
2-2,SAM 202,System Administration and Maintenance,3,3,3,NET201
2-2,CS 333,Application Development and Emerging Technologies,2,-,3,"IT211,IT221"
2-2,LDS 202,Logic Design and Switching ,3,3,3,NET 201
2-2,IT 202,Software Engineering 1,2,-,3,"IT211,IT221"
2-2,NET 202,Computer Networking 3,3,3,3,NET 201
2-2,HCI 302,Human Computer Interaction,2,-,3,"IT211,IT221"
2-2,PE 202,Team Sports,2,-,2,PE 201
3-1,AIS 301,Advance Information Assurance & Security,3,3,3,IAS202
3-1, SIA 301,System Integration & Architectural with Laboratory ,2,3,3,SAM202
3-1,IT 301,System Engineering 2,3,-,3,"IT201,CS333"
3-1,NET 301,Computer Networking 4,2,3,3,NET202
3-1,CEEL 301,Graphics Design,2,3,3,None
3-1,SQA 302,Software Quality Assurance,3,-,3,IT202
3-1,ETHICS 301,Professional Ethics,3,-,3,None
3-1,TECH 301,Technopreneurship,3,-,3,None
3-2,CEEL 311,Internet of Things,2,3,3,None 
3-2,CEEL 302,Multimedia,2,3,3,None
3-2,CEEL 312,Cloud Computing,2,3,3,None
3-2,CAP 302,Capstone Project 1,3,-,3,Regular
4-1,CAP 401,Capstone Project 2,-,-,3,Regular
4-2,PRAC 401,IT Internship (600 Hours),-,-,6,Regular
,,,,,,
